GI type                     Start                End            Length
islandpick_39_1         2363552         2374699         11148
islandpick_39_2         4248144         4259160         11017
negative_39_1         337974         352976         15003
negative_39_2         477941         486236         8296
negative_39_3         518097         533587         15491
negative_39_4         698766         709264         10499
negative_39_5         744494         757488         12995
negative_39_6         772797         790748         17952
negative_39_7         881314         894222         12909
negative_39_8         1149811         1158872         9062
negative_39_9         1158877         1167580         8704
negative_39_10         1177212         1217228         40017
negative_39_11         1312921         1326454         13534
negative_39_12         1327010         1336081         9072
negative_39_13         1336417         1345317         8901
negative_39_14         1375964         1385956         9993
negative_39_15         1399819         1431728         31910
negative_39_16         1447647         1455888         8242
negative_39_17         1464539         1514582         50044
negative_39_18         1530868         1540199         9332
negative_39_19         1556478         1567108         10631
negative_39_20         1630369         1641364         10996
negative_39_21         1647642         1657630         9989
negative_39_22         1960991         1971568         10578
negative_39_23         1972365         1983591         11227
negative_39_24         2154384         2165116         10733
negative_39_25         2201693         2213783         12091
negative_39_26         2239070         2254208         15139
negative_39_27         2259515         2274479         14965
negative_39_28         2456999         2466099         9101
negative_39_29         3376338         3387422         11085
negative_39_30         3433612         3448906         15295
negative_39_31         3602441         3634743         32303
negative_39_32         3641994         3657622         15629
negative_39_33         3660288         3722264         61977
negative_39_34         3730057         3786784         56728
negative_39_35         3787995         3840689         52695
negative_39_36         3845875         3860478         14604
negative_39_37         3874845         3915310         40466
negative_39_38         3915844         3928439         12596
negative_39_39         3934620         3957965         23346
negative_39_40         3958020         3968191         10172
negative_39_41         3980158         3993467         13310
negative_39_42         3995356         4017039         21684
negative_39_43         4033457         4045850         12394
negative_39_44         4055556         4108965         53410
negative_39_45         4108971         4137658         28688
negative_39_46         4174005         4193838         19834
negative_39_47         4199823         4211229         11407
negative_39_48         4219853         4229224         9372
negative_39_49         4229641         4248122         18482
negative_39_50         4272887         4281802         8916
negative_39_51         4282542         4292250         9709
negative_39_52         4312607         4322511         9905
negative_39_53         4371625         4381080         9456
negative_39_54         4381130         4402453         21324
negative_39_55         4403302         4416782         13481
negative_39_56         4428473         4438641         10169
negative_39_57         4493532         4510289         16758
negative_39_58         4641418         4649651         8234
negative_39_59         4649789         4659663         9875
negative_39_60         4673552         4690556         17005
negative_39_61         4777215         4789000         11786
negative_39_62         4871620         4880511         8892
negative_39_63         4880749         4897208         16460
negative_39_64         4917007         4930912         13906
negative_39_65         4935960         4944612         8653
negative_39_66         4979752         4993577         13826
negative_39_67         5042947         5060126         17180
negative_39_68         5063006         5078360         15355
negative_39_69         5080629         5105594         24966
negative_39_70         5130447         5142591         12145
negative_39_71         5142790         5151714         8925
negative_39_72         5228766         5256974         28209
negative_39_73         374         82359         81986
negative_39_74         88074         156380         68307
negative_39_75         156531         165391         8861
negative_39_76         249785         272436         22652
negative_39_77         324619         336562         11944
