GI type                     Start                End            Length
islandpick_35_1         338051         358399         20349
islandpick_35_2         454304         473320         19017
islandpick_35_3         736931         749604         12674
islandpick_35_4         1231170         1260648         29479
islandpick_35_5         1260665         1285055         24391
islandpick_35_6         1285769         1314518         28750
islandpick_35_7         1321439         1334143         12705
islandpick_35_8         2257042         2272262         15221
islandpick_35_9         2335776         2348796         13021
islandpick_35_10         3308132         3342855         34724
islandpick_35_11         3350484         3366056         15573
islandpick_35_12         3366901         3377054         10154
negative_35_1         171793         203897         32105
negative_35_2         412709         421544         8836
negative_35_3         2076018         2084776         8759
negative_35_4         2356737         2366144         9408
negative_35_5         2658181         2666847         8667
negative_35_6         2971663         2980951         9289
negative_35_7         3427387         3442837         15451
negative_35_8         3904820         3913715         8896
