GI type                     Start                End            Length
islandpick_44_1         2703524         2714309         10786
negative_44_1         100631         109123         8493
negative_44_2         118746         130529         11784
negative_44_3         130562         140881         10320
negative_44_4         140919         163626         22708
negative_44_5         176609         185726         9118
negative_44_6         253743         278446         24704
negative_44_7         331376         340936         9561
negative_44_8         361421         371261         9841
negative_44_9         385872         394570         8699
negative_44_10         563127         573712         10586
negative_44_11         596531         623504         26974
negative_44_12         704359         713650         9292
negative_44_13         1163443         1171719         8277
negative_44_14         1175444         1186676         11233
negative_44_15         1196457         1206457         10001
negative_44_16         1225619         1236744         11126
negative_44_17         1712250         1725433         13184
negative_44_18         1867799         1883018         15220
negative_44_19         1907863         1922246         14384
negative_44_20         2071530         2081042         9513
negative_44_21         2082667         2094547         11881
negative_44_22         2115851         2124207         8357
negative_44_23         2152821         2163276         10456
negative_44_24         2221357         2230596         9240
negative_44_25         2335592         2346495         10904
negative_44_26         2361463         2374493         13031
negative_44_27         2961797         2971462         9666
negative_44_28         3016838         3026885         10048
negative_44_29         3029758         3040650         10893
negative_44_30         3058283         3069127         10845
negative_44_31         3154736         3164690         9955
negative_44_32         3253529         3267399         13871
negative_44_33         3277684         3288497         10814
negative_44_34         3336447         3347810         11364
negative_44_35         3389162         3403004         13843
negative_44_36         3419951         3429648         9698
negative_44_37         3442137         3460078         17942
negative_44_38         3461991         3471438         9448
negative_44_39         3693183         3702519         9337
negative_44_40         3848181         3860173         11993
negative_44_41         3899903         3908946         9044
negative_44_42         3987143         3997092         9950
negative_44_43         4133370         4147885         14516
negative_44_44         4351127         4362115         10989
