GI type                     Start                End            Length
islandpick_82_1         916639         927354         10716
islandpick_82_2         1311969         1320670         8702
islandpick_82_3         1446557         1461145         14589
islandpick_82_4         2113916         2122385         8470
islandpick_82_5         2525465         2542678         17214
islandpick_82_6         2689966         2699777         9812
islandpick_82_7         4164561         4175117         10557
islandpick_82_8         4177052         4187631         10580
negative_82_1         630569         639197         8629
negative_82_2         1320690         1330286         9597
negative_82_3         2934511         2945227         10717
negative_82_4         3453656         3464281         10626
negative_82_5         3656850         3665393         8544
negative_82_6         3795031         3808731         13701
negative_82_7         4864744         4878393         13650
