GI type                       Start                End               Length
islandpick_1_1         642102         650843         8742
islandpick_1_2         653689         684682         30994
islandpick_1_3         691563         721135         29573
islandpick_1_4         722194         733069         10876
islandpick_1_5         2237111         2246644         9534
islandpick_1_6         2332821         2342724         9904
islandpick_1_7         2354372         2368451         14080
islandpick_1_8         2492828         2501913         9086
islandpick_1_9         2501930         2514312         12383
islandpick_1_10         2607307         2624859         17553
islandpick_1_11         3031136         3039466         8331
islandpick_1_12         3042153         3052500         10348
islandpick_1_13         3860646         3883912         23267
islandpick_1_14         3888875         3898162         9288
islandpick_1_15         3973592         3996618         23027
islandpick_1_16         4002703         4014772         12070
islandpick_1_17         4735185         4747008         11824
islandpick_1_18         5040136         5054369         14234
negative_1_1         245905         259554         13650
negative_1_2         455187         467238         12052
negative_1_3         1745007         1755025         10019
negative_1_4         1798225         1813323         15099
negative_1_5         1925575         1934987         9413
negative_1_6         2990872         3001784         10913
negative_1_7         5213182         5222929         9748
