GI type                     Start                End            Length
islandpick_99_1         1843032         1852236         9205
negative_99_1         890839         900972         10134
negative_99_2         992466         1008862         16397
negative_99_3         1062730         1074793         12064
negative_99_4         1448881         1457259         8379
negative_99_5         1669790         1680299         10510
negative_99_6         1709293         1719462         10170
negative_99_7         1750613         1761361         10749
negative_99_8         2070009         2079143         9135
negative_99_9         16225         28773         12549
negative_99_10         34390         46276         11887
negative_99_11         64745         73062         8318
negative_99_12         74320         90697         16378
negative_99_13         143189         157131         13943
negative_99_14         172527         188536         16010
negative_99_15         713340         721453         8114
negative_99_16         727448         736498         9051
negative_99_17         746360         754553         8194
negative_99_18         859237         867770         8534
