GI type                     Start                End            Length
islandpick_67_1         1127423         1144253         16831
islandpick_67_2         1404418         1424623         20206
islandpick_67_3         1469310         1491871         22562
islandpick_67_4         1496017         1507668         11652
islandpick_67_5         1508133         1522207         14075
islandpick_67_6         1879116         1888855         9740
islandpick_67_7         1889186         1901485         12300
islandpick_67_8         2239932         2254131         14200
negative_67_1         2472         13004         10533
negative_67_2         139283         148386         9104
negative_67_3         267215         281081         13867
negative_67_4         460170         472734         12565
negative_67_5         753787         764479         10693
negative_67_6         873625         883406         9782
negative_67_7         2409693         2423644         13952
negative_67_8         2608479         2618068         9590
negative_67_9         2669587         2682299         12713
negative_67_10         2842420         2853113         10694
negative_67_11         3108568         3122092         13525
negative_67_12         3277135         3287880         10746
