GI type                     Start                End            Length
islandpick_86_1         493140         503967         10828
islandpick_86_2         539649         561403         21755
islandpick_86_3         1836435         1845540         9106
islandpick_86_4         2483206         2496703         13498
islandpick_86_5         3356259         3375744         19486
islandpick_86_6         3375844         3385114         9271
islandpick_86_7         3399664         3438596         38933
negative_86_1         40559         55916         15358
negative_86_2         67977         77356         9380
negative_86_3         160134         173363         13230
negative_86_4         176331         188307         11977
negative_86_5         258463         275070         16608
negative_86_6         276548         285924         9377
negative_86_7         315165         330111         14947
negative_86_8         420943         429666         8724
negative_86_9         434171         448527         14357
negative_86_10         565646         577631         11986
negative_86_11         704346         720929         16584
negative_86_12         745581         753921         8341
negative_86_13         756341         765744         9404
negative_86_14         852352         862077         9726
negative_86_15         862435         871209         8775
negative_86_16         878990         890929         11940
negative_86_17         919620         929644         10025
negative_86_18         1104979         1115911         10933
negative_86_19         1285838         1296798         10961
negative_86_20         1310394         1320522         10129
negative_86_21         1382087         1397709         15623
negative_86_22         1398617         1408973         10357
negative_86_23         1409294         1425653         16360
negative_86_24         1459358         1495163         35806
negative_86_25         1555344         1564831         9488
negative_86_26         1589229         1602068         12840
negative_86_27         1607605         1621078         13474
negative_86_28         1955040         1969740         14701
negative_86_29         2078894         2090253         11360
negative_86_30         2330125         2339584         9460
negative_86_31         2342322         2357182         14861
negative_86_32         2360384         2378759         18376
negative_86_33         2385323         2397718         12396
negative_86_34         2642804         2658242         15439
negative_86_35         2844505         2861899         17395
negative_86_36         2868969         2885650         16682
negative_86_37         2920230         2930791         10562
negative_86_38         2935361         2951503         16143
negative_86_39         3025152         3034283         9132
negative_86_40         3065211         3077083         11873
negative_86_41         3113634         3122033         8400
negative_86_42         3126259         3136028         9770
negative_86_43         3261898         3270126         8229
negative_86_44         3445403         3455736         10334
negative_86_45         3465486         3475226         9741
negative_86_46         3492476         3507442         14967
negative_86_47         3510910         3522196         11287
negative_86_48         3535413         3545646         10234
negative_86_49         3571483         3581397         9915
negative_86_50         3595235         3605392         10158
negative_86_51         3617024         3631318         14295
negative_86_52         3637826         3648481         10656
