GI type                       Start                End               Length
islandpick_69_1         748088         760209         12122
islandpick_69_2         1530247         1539374         9128
islandpick_69_3         1874769         1892121         17353
islandpick_69_4         2201429         2213212         11784
islandpick_69_5         2213551         2224017         10467
islandpick_69_6         2234563         2243919         9357
islandpick_69_7         2520164         2534478         14315
islandpick_69_8         2534524         2552370         17847
islandpick_69_9         2622904         2633833         10930
islandpick_69_10         2889111         2897318         8208
islandpick_69_11         3362364         3371754         9391
islandpick_69_12         3435127         3446655         11529
islandpick_69_13         3456983         3465349         8367
islandpick_69_14         3571802         3606135         34334
islandpick_69_15         3679924         3697434         17511
islandpick_69_16         3698357         3710437         12081
islandpick_69_17         4365618         4393995         28378
islandpick_69_18         4984951         4993590         8640
islandpick_69_19         4996727         5007573         10847
islandpick_69_20         5745686         5753802         8117
negative_69_1         404094         416835         12742
negative_69_2         500480         509173         8694
negative_69_3         679274         690881         11608
negative_69_4         788832         800622         11791
negative_69_5         808835         818499         9665
negative_69_6         968280         976644         8365
negative_69_7         1035249         1045222         9974
negative_69_8         1678942         1688323         9382
negative_69_9         1833584         1842114         8531
negative_69_10         2079237         2093231         13995
