GI type                     Start                End            Length
islandpick_101_1         1038008         1047515         9508
islandpick_101_2         1625241         1637308         12068
islandpick_101_3         3108262         3119566         11305
islandpick_101_4         3133521         3148739         15219
negative_101_1         15907         24426         8520
negative_101_2         156054         166870         10817
negative_101_3         167176         183217         16042
negative_101_4         195298         203669         8372
negative_101_5         272515         283849         11335
negative_101_6         390057         399554         9498
negative_101_7         452282         483378         31097
negative_101_8         524351         548959         24609
negative_101_9         624053         641023         16971
negative_101_10         652721         662149         9429
negative_101_11         736135         749721         13587
negative_101_12         755810         771156         15347
negative_101_13         778684         787950         9267
negative_101_14         830225         841552         11328
negative_101_15         883553         899433         15881
negative_101_16         902271         912025         9755
negative_101_17         954569         967009         12441
negative_101_18         989817         999341         9525
negative_101_19         1059480         1068381         8902
negative_101_20         1102587         1112970         10384
negative_101_21         1145609         1155224         9616
negative_101_22         1155297         1165596         10300
negative_101_23         1183380         1219429         36050
negative_101_24         1227281         1236756         9476
negative_101_25         1249000         1271570         22571
negative_101_26         1271859         1281501         9643
negative_101_27         1289996         1306623         16628
negative_101_28         1311833         1329646         17814
negative_101_29         1348100         1359993         11894
negative_101_30         1391959         1402171         10213
negative_101_31         1423572         1433506         9935
negative_101_32         1454072         1477588         23517
negative_101_33         1549423         1557620         8198
negative_101_34         1749938         1758764         8827
negative_101_35         1825226         1833583         8358
negative_101_36         1834795         1858455         23661
negative_101_37         1903097         1915849         12753
negative_101_38         1916911         1951040         34130
negative_101_39         2909265         2917968         8704
negative_101_40         2923589         2935308         11720
negative_101_41         2951136         2963023         11888
negative_101_42         3175097         3184371         9275
negative_101_43         3184772         3198601         13830
negative_101_44         3268212         3278172         9961
negative_101_45         3292598         3301923         9326
negative_101_46         3335311         3355358         20048
negative_101_47         3417618         3448133         30516
negative_101_48         3476458         3487052         10595
negative_101_49         3487293         3523039         35747
negative_101_50         3531698         3548411         16714
negative_101_51         3620784         3634312         13529
negative_101_52         3766324         3782525         16202
