GI type                     Start                End            Length
islandpick_7_1         472370         483188         10819
islandpick_7_2         3762449         3772343         9895
islandpick_7_3         4841752         4858386         16635
negative_7_1         373         82209         81837
negative_7_2         87059         150653         63595
negative_7_3         150804         159739         8936
negative_7_4         184497         192843         8347
negative_7_5         237606         260501         22896
negative_7_6         262457         272911         10455
negative_7_7         295230         307139         11910
negative_7_8         308550         319278         10729
negative_7_9         370323         380768         10446
negative_7_10         403991         415800         11810
negative_7_11         429240         438285         9046
negative_7_12         438792         447088         8297
negative_7_13         516081         531614         15534
negative_7_14         678080         688564         10485
negative_7_15         752259         770221         17963
negative_7_16         859071         871215         12145
negative_7_17         1110640         1119705         9066
negative_7_18         1119710         1128411         8702
negative_7_19         1138035         1146763         8729
negative_7_20         1146954         1177801         30848
negative_7_21         1252953         1266485         13533
negative_7_22         1266994         1276109         9116
negative_7_23         1276445         1285344         8900
negative_7_24         1315948         1325935         9988
negative_7_25         1339473         1376936         37464
negative_7_26         1387263         1395488         8226
negative_7_27         1404770         1454987         50218
negative_7_28         1471398         1480729         9332
negative_7_29         1497458         1507875         10418
negative_7_30         1565164         1573295         8132
negative_7_31         1580802         1594521         13720
negative_7_32         1607942         1617929         9988
negative_7_33         1918195         1928795         10601
negative_7_34         1929591         1940737         11147
negative_7_35         2087824         2102096         14273
negative_7_36         2137803         2149893         12091
negative_7_37         2182227         2197376         15150
negative_7_38         2203537         2218495         14959
negative_7_39         2369274         2378375         9102
negative_7_40         3362415         3377709         15295
negative_7_41         3575345         3590691         15347
negative_7_42         3591018         3607917         16900
negative_7_43         3615168         3692765         77598
negative_7_44         3699421         3745615         46195
negative_7_45         3789721         3800396         10676
negative_7_46         3801606         3854250         52645
negative_7_47         3859141         3873707         14567
negative_7_48         3888490         3929481         40992
negative_7_49         3929975         3946069         16095
negative_7_50         3951371         3970709         19339
negative_7_51         3971631         3981805         10175
negative_7_52         3993770         4007053         13284
negative_7_53         4008970         4030653         21684
negative_7_54         4045963         4058352         12390
negative_7_55         4068509         4121948         53440
negative_7_56         4121954         4150619         28666
negative_7_57         4185642         4205474         19833
negative_7_58         4211295         4221794         10500
negative_7_59         4231489         4240609         9121
negative_7_60         4241026         4259509         18484
negative_7_61         4266560         4275471         8912
negative_7_62         4276211         4285920         9710
negative_7_63         4316409         4326321         9913
negative_7_64         4374469         4383651         9183
negative_7_65         4383701         4404878         21178
negative_7_66         4405716         4419270         13555
negative_7_67         4429979         4439220         9242
negative_7_68         4491657         4508434         16778
negative_7_69         4627254         4638116         10863
negative_7_70         4638131         4647934         9804
negative_7_71         4657269         4674172         16904
negative_7_72         4751936         4763853         11918
negative_7_73         4858425         4867364         8940
negative_7_74         4867547         4884013         16467
negative_7_75         4900562         4914465         13904
negative_7_76         4955907         4969771         13865
negative_7_77         5014404         5031614         17211
negative_7_78         5034261         5049512         15252
negative_7_79         5051823         5076999         25177
negative_7_80         5099694         5111716         12023
negative_7_81         5111914         5120715         8802
negative_7_82         5170630         5182490         11861
negative_7_83         5199060         5227176         28117
