GI type                     Start                End            Length
islandpick_108_1         177938         196352         18415
islandpick_108_2         215950         243828         27879
islandpick_108_3         243880         261527         17648
islandpick_108_4         269982         278967         8986
islandpick_108_5         279024         287601         8578
islandpick_108_6         1355766         1364379         8614
islandpick_108_7         2254131         2273610         19480
islandpick_108_8         2349264         2357632         8369
islandpick_108_9         3799163         3811836         12674
islandpick_108_10         4093403         4103477         10075
islandpick_108_11         4436885         4451459         14575
islandpick_108_12         4453721         4462446         8726
islandpick_108_13         4623976         4640565         16590
negative_108_1         1289768         1299220         9453
negative_108_2         1695877         1704829         8953
negative_108_3         2608993         2618313         9321
negative_108_4         4348397         4363832         15436
negative_108_5         4364462         4380455         15994
negative_108_6         4603016         4612723         9708
negative_108_7         499731         510038         10308
negative_108_8         1242613         1252226         9614
