GI type                     Start                End            Length
islandpick_22_1         1965988         1989921         23934
islandpick_22_2         2920487         2930509         10023
islandpick_22_3         3174516         3186911         12396
negative_22_1         1708468         1718268         9801
negative_22_2         1727483         1736238         8756
negative_22_3         1803495         1813176         9682
negative_22_4         2724019         2733054         9036
negative_22_5         2733738         2768014         34277
negative_22_6         2769407         2780694         11288
negative_22_7         2829660         2853452         23793
negative_22_8         2940092         2948952         8861
negative_22_9         3015548         3029383         13836
negative_22_10         3050253         3060164         9912
negative_22_11         3130143         3138353         8211
negative_22_12         3209895         3227479         17585
negative_22_13         3233274         3242589         9316
negative_22_14         3260934         3271270         10337
negative_22_15         3293024         3302718         9695
negative_22_16         3339207         3348593         9387
negative_22_17         3369929         3378411         8483
negative_22_18         3392766         3414515         21750
negative_22_19         3432619         3445960         13342
negative_22_20         3446272         3470018         23747
negative_22_21         3478942         3502371         23430
negative_22_22         3574024         3604516         30493
negative_22_23         3632807         3643474         10668
negative_22_24         3643715         3660691         16977
negative_22_25         3661028         3679536         18509
negative_22_26         3694267         3703821         9555
negative_22_27         3749404         3764761         15358
negative_22_28         3864427         3880230         15804
negative_22_29         3903073         3912649         9577
negative_22_30         142150         153005         10856
negative_22_31         153319         169570         16252
negative_22_32         183734         192149         8416
negative_22_33         242026         250836         8811
negative_22_34         253888         266052         12165
negative_22_35         436729         453200         16472
negative_22_36         453627         469607         15981
negative_22_37         536474         561143         24670
negative_22_38         636254         653325         17072
negative_22_39         662353         673113         10761
negative_22_40         786201         799779         13579
negative_22_41         805972         821432         15461
negative_22_42         829583         838673         9091
negative_22_43         883367         896885         13519
negative_22_44         942756         960272         17517
negative_22_45         961545         971444         9900
negative_22_46         1007820         1016491         8672
negative_22_47         1044291         1053799         9509
negative_22_48         1140741         1151190         10450
negative_22_49         1159180         1170349         11170
negative_22_50         1201418         1211237         9820
negative_22_51         1211886         1222161         10276
negative_22_52         1240239         1276281         36043
negative_22_53         1348661         1357945         9285
negative_22_54         1436758         1451342         14585
negative_22_55         1451743         1461108         9366
negative_22_56         1645374         1655514         10141
negative_22_57         1681301         1693186         11886
