GI type                     Start                End            Length
islandpick_9_1         2392474         2411647         19174
islandpick_9_2         4386695         4405413         18719
islandpick_9_3         5010147         5018295         8149
islandpick_9_4         5018340         5029259         10920
negative_9_1         247         82001         81755
negative_9_2         92557         156307         63751
negative_9_3         156458         165386         8929
negative_9_4         181967         190324         8358
negative_9_5         236524         259461         22938
negative_9_6         298642         310582         11941
negative_9_7         312295         323045         10751
negative_9_8         374185         384394         10210
negative_9_9         416913         428490         11578
negative_9_10         442261         451349         9089
negative_9_11         451877         460172         8296
negative_9_12         493016         508786         15771
negative_9_13         651774         661996         10223
negative_9_14         729276         747238         17963
negative_9_15         846170         858438         12269
negative_9_16         3875634         3918258         42625
negative_9_17         3919475         3972210         52736
negative_9_18         3976993         3991539         14547
negative_9_19         4005616         4047701         42086
negative_9_20         4048895         4065060         16166
negative_9_21         4070365         4089728         19364
negative_9_22         4090620         4100797         10178
negative_9_23         4118226         4131513         13288
negative_9_24         4132495         4154167         21673
negative_9_25         4171251         4183702         12452
negative_9_26         4193944         4242453         48510
negative_9_27         5383567         5411568         28002
