GI type                     Start                End            Length
islandpick_94_1         115265         123600         8336
islandpick_94_2         1669427         1678863         9437
islandpick_94_3         2192661         2206675         14015
islandpick_94_4         3093377         3101902         8526
islandpick_94_5         3206999         3235233         28235
islandpick_94_6         3534778         3543533         8756
islandpick_94_7         5000247         5010063         9817
islandpick_94_8         5135290         5151222         15933
negative_94_1         239663         252396         12734
negative_94_2         574598         583537         8940
negative_94_3         643090         659273         16184
negative_94_4         810433         820821         10389
negative_94_5         934928         946887         11960
negative_94_6         1189609         1206747         17139
negative_94_7         1385153         1408764         23612
negative_94_8         1441770         1450987         9218
negative_94_9         1487042         1495230         8189
negative_94_10         1518570         1535335         16766
negative_94_11         1537725         1545986         8262
negative_94_12         1546547         1557532         10986
negative_94_13         1577604         1586452         8849
negative_94_14         1796994         1808010         11017
negative_94_15         1831337         1842130         10794
negative_94_16         2085153         2099367         14215
negative_94_17         2220200         2229754         9555
negative_94_18         2324611         2338038         13428
negative_94_19         3585878         3594235         8358
negative_94_20         3827735         3842472         14738
negative_94_21         3931886         3942652         10767
negative_94_22         4091840         4105398         13559
negative_94_23         4112237         4122226         9990
negative_94_24         4359790         4368253         8464
negative_94_25         4633724         4644203         10480
negative_94_26         4872332         4883300         10969
negative_94_27         4884205         4895969         11765
negative_94_28         4923076         4938124         15049
negative_94_29         4947918         4956975         9058
negative_94_30         4967387         4988650         21264
negative_94_31         5211883         5223344         11462
negative_94_32         5265620         5274090         8471
negative_94_33         5384061         5420224         36164
negative_94_34         5477395         5498009         20615
negative_94_35         5583431         5592274         8844
negative_94_36         5664370         5673745         9376
negative_94_37         5770433         5779077         8645
negative_94_38         5975657         5990253         14597
negative_94_39         6073234         6083857         10624
