GI type                     Start                End            Length
islandpick_92_1         1410055         1421842
negative_92_1         16853         29088         12236
negative_92_2         34589         45647         11059
negative_92_3         54016         79098         25083
negative_92_4         88988         103060         14073
negative_92_5         244956         255428         10473
negative_92_6         483604         492332         8729
negative_92_7         762182         772153         9972
negative_92_8         914362         928047         13686
negative_92_9         936554         953343         16790
negative_92_10         1023244         1031783         8540
negative_92_11         1513704         1526710         13007
negative_92_12         1549265         1557640         8376
negative_92_13         1757757         1772430         14674
negative_92_14         1773432         1785497         12066
negative_92_15         1806588         1814654         8067
