GI type                     Start                End            Length
islandpick_5_1         311382         323333         11952
negative_5_1         16557         29749         13193
negative_5_2         32991         45666         12676
negative_5_3         54081         62820         8740
negative_5_4         63460         79191         15732
negative_5_5         87694         103161         15468
negative_5_6         238404         248461         10058
negative_5_7         993940         1010730         16791
negative_5_8         1089331         1097855         8525
negative_5_9         1572133         1585579         13447
negative_5_10         1609197         1617572         8376
negative_5_11         1814582         1829426         14845
negative_5_12         1830257         1841880         11624
negative_5_13         1855977         1871715         15739
