GI type                     Start                End            Length
islandpick_103_1         1422167         1441405         19239
islandpick_103_2         1977459         1990545         13087
islandpick_103_3         5173495         5183749         10255
islandpick_103_4         5184253         5195298         11046
islandpick_103_5         5200966         5216954         15989
islandpick_103_6         5229454         5245185         15732
negative_103_1         67129         78759         11631
negative_103_2         207826         217645         9820
negative_103_3         433180         452460         19281
negative_103_4         497672         507024         9353
negative_103_5         578894         587510         8617
negative_103_6         594478         604353         9876
negative_103_7         631599         643641         12043
negative_103_8         1028806         1037331         8526
negative_103_9         1139288         1148947         9660
negative_103_10         1613875         1623030         9156
negative_103_11         2193958         2205131         11174
negative_103_12         2291238         2309988         18751
negative_103_13         2310161         2319829         9669
negative_103_14         2913254         2924717         11464
negative_103_15         3531740         3541120         9381
negative_103_16         3609752         3620039         10288
negative_103_17         3827988         3836967         8980
negative_103_18         3849503         3858102         8600
negative_103_19         4151736         4161983         10248
negative_103_20         4992175         5004729         12555
