GI type                     Start                End            Length
islandpick_105_1         607946         618541         10596
islandpick_105_2         622801         632013         9213
islandpick_105_3         784347         801357         17011
islandpick_105_4         801650         821709         20060
islandpick_105_5         1110338         1125822         15485
islandpick_105_6         1409147         1423195         14049
islandpick_105_7         2049656         2104831         55176
islandpick_105_8         3051925         3064514         12590
negative_105_1         28730         42698         13969
negative_105_2         52871         60913         8043
negative_105_3         112160         140269         28110
negative_105_4         214443         226759         12317
negative_105_5         270044         283171         13128
negative_105_6         309463         323556         14094
negative_105_7         380381         399500         19120
negative_105_8         399995         408979         8985
negative_105_9         522873         537919         15047
negative_105_10         713142         721580         8439
negative_105_11         845371         856618         11248
negative_105_12         875063         887080         12018
negative_105_13         1332692         1343290         10599
negative_105_14         1343772         1352201         8430
negative_105_15         1558945         1572024         13080
negative_105_16         1578934         1587858         8925
negative_105_17         1637715         1645858         8144
negative_105_18         1687705         1703197         15493
negative_105_19         1715635         1731908         16274
negative_105_20         1745439         1784887         39449
negative_105_21         1800342         1810291         9950
negative_105_22         1916912         1925815         8904
negative_105_23         1977426         1990493         13068
negative_105_24         1994692         2007933         13242
negative_105_25         2016103         2025349         9247
negative_105_26         2432559         2443481         10923
negative_105_27         2481542         2494333         12792
negative_105_28         2564746         2576019         11274
negative_105_29         2959650         2969014         9365
negative_105_30         2992645         3007120         14476
negative_105_31         3013607         3025991         12385
negative_105_32         3451608         3467566         15959
negative_105_33         3495791         3506070         10280
negative_105_34         3641191         3652534         11344
negative_105_35         3733458         3741458         8001
negative_105_36         3755720         3765893         10174
negative_105_37         3793631         3805553         11923
negative_105_38         3865400         3874338         8939
negative_105_39         3975621         3987213         11593
negative_105_40         3987278         3998677         11400
negative_105_41         4011195         4025118         13924
negative_105_42         4034332         4044617         10286
negative_105_43         4085377         4094096         8720
negative_105_44         4157344         4170418         13075
negative_105_45         4172225         4190267         18043
negative_105_46         4197630         4206870         9241
negative_105_47         4224730         4233033         8304
negative_105_48         4318238         4327854         9617
negative_105_49         4343851         4359541         15691
negative_105_50         4365759         4376682         10924
