GI type                       Start                End               Length
islandpick_30_1         1098471         1123199         24729
islandpick_30_2         1124719         1161178         36460
islandpick_30_3         1186315         1210728         24414
islandpick_30_4         1225317         1297580         72264
negative_30_1         163794         175131         11338
negative_30_2         182318         206006         23689
negative_30_3         398898         409981         11084
negative_30_4         418539         429920         11382
negative_30_5         477785         493748         15964
negative_30_6         500936         511165         10230
negative_30_7         542165         557717         15553
negative_30_8         558210         572918         14709
negative_30_9         575610         602385         26776
negative_30_10         644433         656747         12315
negative_30_11         706589         716401         9813
negative_30_12         750939         760685         9747
negative_30_13         1315950         1330598         14649
