GI type                     Start                End            Length
islandpick_116_1         3588934         3597094         8161
negative_116_1         13727         25622         11896
negative_116_2         1121819         1131878         10060
negative_116_3         1399488         1410887         11400
negative_116_4         1604120         1614553         10434
negative_116_5         1720776         1730891         10116
negative_116_6         1898764         1912394         13631
negative_116_7         1946344         1955344         9001
negative_116_8         1966085         1974559         8475
negative_116_9         1989735         1998333         8599
negative_116_10         2174590         2184544         9955
negative_116_11         2365608         2376280         10673
negative_116_12         2528968         2537590         8623
negative_116_13         2796007         2807052         11046
negative_116_14         2829370         2837558         8189
negative_116_15         2899460         2909101         9642
negative_116_16         3877931         3887366         9436
negative_116_17         3890730         3901853         11124
negative_116_18         3933269         3950928         17660
negative_116_19         4140573         4148910         8338
negative_116_20         4254827         4266285         11459
negative_116_21         4423995         4439180         15186
negative_116_22         4652715         4664844         12130
negative_116_23         4714538         4732739         18202
negative_116_24         5064704         5074926         10223
negative_116_25         5523960         5533736         9777
negative_116_26         5534409         5544488         10080
