GI type                       Start                End               Length
islandpick_8_1         629042         637906         8865
islandpick_8_2         768728         784588         15861
islandpick_8_3         784634         808858         24225
negative_8_1         1294606         1303142         8537
negative_8_2         1312126         1325908         13783
negative_8_3         2056353         2066221         9869
negative_8_4         2853098         2863719         10622
negative_8_5         2988700         2998344         9645
negative_8_6         3227328         3236424         9097
negative_8_7         3355488         3365750         10263
negative_8_8         3616280         3626193         9914
negative_8_9         3824086         3833850         9765
negative_8_10         4960574         4973119         12546
negative_8_11         5006559         5047452         40894
negative_8_12         5047584         5057618         10035
negative_8_13         5206556         5217562         11007
