GI type                     Start                End            Length
islandpick_29_1         1188250         1198102         9853
islandpick_29_2         1360277         1370907         10631
islandpick_29_3         4201499         4215539         14041
negative_29_1         53523         65255         11733
negative_29_2         66331         77036         10706
negative_29_3         77039         99144         22106
negative_29_4         150945         159398         8454
negative_29_5         171416         195609         24194
negative_29_6         340917         353649         12733
negative_29_7         372242         383188         10947
negative_29_8         540240         554937         14698
negative_29_9         597211         608796         11586
negative_29_10         616022         625199         9178
negative_29_11         828967         842454         13488
negative_29_12         925629         935193         9565
negative_29_13         1155740         1164182         8443
negative_29_14         1935222         1948631         13410
negative_29_15         2068853         2078537         9685
negative_29_16         2112176         2127154         14979
negative_29_17         2176974         2196732         19759
negative_29_18         2296761         2318244         21484
negative_29_19         2337599         2348027         10429
negative_29_20         2549674         2559492         9819
negative_29_21         2714395         2722909         8515
negative_29_22         3040134         3049613         9480
negative_29_23         3081686         3092921         11236
negative_29_24         3094814         3104546         9733
negative_29_25         3216645         3234783         18139
negative_29_26         3286310         3301639         15330
negative_29_27         3354835         3365333         10499
negative_29_28         3449390         3458038         8649
negative_29_29         3761560         3774304         12745
negative_29_30         3812754         3823301         10548
negative_29_31         3868724         3877758         9035
negative_29_32         3904257         3914258         10002
negative_29_33         4033527         4048030         14504
negative_29_34         4329994         4342331         12338
