GI type                     Start                End            Length
islandpick_2_1         406150         418491         12342
islandpick_2_2         952241         961243         9003
islandpick_2_3         1748015         1757342         9328
negative_2_1         86389         96115         9727
negative_2_2         109768         131794         22027
negative_2_3         140708         149732         9025
negative_2_4         185628         209848         24221
negative_2_5         284319         293622         9304
negative_2_6         443427         452038         8612
negative_2_7         561214         581478         20265
negative_2_8         620922         632325         11404
negative_2_9         644057         653258         9202
negative_2_10         841483         850982         9500
negative_2_11         1237353         1245604         8252
negative_2_12         1685255         1694485         9231
negative_2_13         1859881         1873287         13407
negative_2_14         2122395         2142183         19789
negative_2_15         2166906         2175933         9028
negative_2_16         2269734         2296997         27264
negative_2_17         2309209         2319883         10675
negative_2_18         2320477         2329324         8848
negative_2_19         2517890         2527703         9814
negative_2_20         2808289         2816803         8515
negative_2_21         2896274         2906057         9784
negative_2_22         2951080         2959716         8637
negative_2_23         3090207         3109061         18855
negative_2_24         3121840         3132583         10744
negative_2_25         3220464         3235795         15332
negative_2_26         3250270         3260790         10521
negative_2_27         3409508         3427341         17834
negative_2_28         3469081         3483564         14484
negative_2_29         3599200         3609198         9999
negative_2_30         3635953         3644912         8960
negative_2_31         3690921         3699885         8965
negative_2_32         3738358         3751096         12739
negative_2_33         4129542         4139395         9854
