GI type                     Start                End            Length
islandpick_107_1         1097405         1114035         16631
negative_107_1         15619         24381         8763
negative_107_2         536394         546708         10315
negative_107_3         548625         563007         14383
negative_107_4         600579         617976         17398
negative_107_5         618020         633817         15798
negative_107_6         855193         868368         13176
negative_107_7         1000342         1009935         9594
negative_107_8         1165292         1175430         10139
negative_107_9         1194888         1206425         11538
negative_107_10         1367849         1387493         19645
negative_107_11         1622882         1633899         11018
negative_107_12         1735914         1746043         10130
negative_107_13         1795270         1807150         11881
negative_107_14         1831253         1841024         9772
negative_107_15         2049840         2058352         8513
negative_107_16         2090836         2098916         8081
negative_107_17         2200872         2214669         13798
negative_107_18         2261573         2273826         12254
negative_107_19         2280776         2290125         9350
negative_107_20         2394360         2409568         15209
