GI type                     Start                End            Length
islandpick_58_1         1266334         1275177         8844
islandpick_58_2         1282077         1290217         8141
islandpick_58_3         1384767         1394420         9654
islandpick_58_4         2183688         2194663         10976
islandpick_58_5         2195121         2298627         103507
islandpick_58_6         2299353         2317678         18326
islandpick_58_7         2317920         2337067         19148
islandpick_58_8         2337093         2352602         15510
islandpick_58_9         2352623         2372056         19434
islandpick_58_10         2373274         2403836         30563
islandpick_58_11         2952629         2973596         20968
islandpick_58_12         2974468         2982731         8264
islandpick_58_13         3553658         3578111         24454
islandpick_58_14         3578395         3592660         14266
islandpick_58_15         3599765         3616383         16619
negative_58_1         236534         250887         14354
negative_58_2         354789         368916         14128
negative_58_3         373814         399254         25441
negative_58_4         426259         456584         30326
negative_58_5         576447         597626         21180
negative_58_6         597665         606950         9286
negative_58_7         617413         634096         16684
negative_58_8         639752         659425         19674
negative_58_9         673213         683279         10067
negative_58_10         715389         725543         10155
negative_58_11         746311         756033         9723
negative_58_12         777451         794252         16802
negative_58_13         945802         954244         8443
negative_58_14         959439         968215         8777
negative_58_15         1032693         1040991         8299
negative_58_16         1042234         1056415         14182
negative_58_17         1056426         1065614         9189
negative_58_18         1100701         1111409         10709
negative_58_19         1120046         1149710         29665
negative_58_20         1150477         1164019         13543
negative_58_21         1222222         1231675         9454
negative_58_22         1343583         1367182         23600
negative_58_23         1542644         1554483         11840
negative_58_24         1567998         1580134         12137
negative_58_25         1581437         1593368         11932
negative_58_26         1663773         1673079         9307
negative_58_27         2576610         2599193         22584
negative_58_28         2599567         2612378         12812
negative_58_29         2627524         2637440         9917
negative_58_30         2637573         2646877         9305
negative_58_31         2669722         2685557         15836
negative_58_32         2803845         2811983         8139
negative_58_33         2839263         2848285         9023
negative_58_34         2850548         2868014         17467
negative_58_35         2932817         2943679         10863
negative_58_36         3027770         3044455         16686
negative_58_37         3050305         3062499         12195
negative_58_38         3110445         3122042         11598
negative_58_39         3136311         3153213         16903
negative_58_40         3200237         3214790         14554
negative_58_41         3214885         3224471         9587
negative_58_42         3254069         3270125         16057
negative_58_43         3270142         3282194         12053
negative_58_44         3437357         3447991         10635
negative_58_45         3529950         3545671         15722
