GI type                       Start                End               Length
islandpick_95_1         1294019         1305346         11328
islandpick_95_2         2272056         2296734         24679
islandpick_95_3         2380107         2389075         8969
negative_95_1         1857381         1868952         11572
negative_95_2         1895046         1909868         14823
negative_95_3         2032491         2050648         18158
negative_95_4         2068407         2081005         12599
negative_95_5         2180371         2194664         14294
negative_95_6         2252412         2260813         8402
negative_95_7         2318215         2329553         11339
negative_95_8         2338546         2350964         12419
negative_95_9         2360462         2368975         8514
negative_95_10         2398948         2413213         14266
negative_95_11         2437103         2450269         13167
negative_95_12         2482150         2499523         17374
negative_95_13         2600351         2608545         8195
negative_95_14         2619604         2630166         10563
negative_95_15         2650454         2658903         8450
negative_95_16         2659236         2676212         16977
negative_95_17         2698257         2710454         12198
negative_95_18         2721251         2730339         9089
negative_95_19         2733534         2747815         14282
negative_95_20         2754608         2780480         25873
negative_95_21         2781373         2792047         10675
negative_95_22         2792362         2802370         10009
negative_95_23         2813207         2830195         16989
negative_95_24         2860595         2878580         17986
negative_95_25         2905849         2921801         15953
negative_95_26         2929010         2945942         16933
negative_95_27         2949256         2965627         16372
negative_95_28         2966635         2976115         9481
negative_95_29         2991608         3013039         21432
negative_95_30         3031095         3050934         19840
negative_95_31         3051942         3067371         15430
negative_95_32         3162435         3174246         11812
negative_95_33         3180678         3189797         9120
negative_95_34         3198010         3212069         14060
negative_95_35         3217109         3228108         11000
negative_95_36         3246608         3256996         10389
negative_95_37         3311297         3321946         10650
negative_95_38         3360656         3382878         22223
negative_95_39         274         10411         10138
negative_95_40         43733         53413         9681
negative_95_41         121153         129157         8005
negative_95_42         151140         161216         10077
negative_95_43         167675         175754         8080
negative_95_44         193399         209201         15803
negative_95_45         260298         271367         11070
negative_95_46         272457         293607         21151
negative_95_47         306113         318409         12297
negative_95_48         373761         388588         14828
negative_95_49         393605         425822         32218
negative_95_50         437172         447768         10597
negative_95_51         479265         490300         11036
negative_95_52         518603         531161         12559
negative_95_53         536276         545787         9512
negative_95_54         558439         577223         18785
negative_95_55         581332         592043         10712
negative_95_56         603556         612316         8761
negative_95_57         622891         637122         14232
negative_95_58         675691         691051         15361
negative_95_59         707489         721459         13971
negative_95_60         733069         744933         11865
negative_95_61         783634         793193         9560
negative_95_62         842951         853921         10971
negative_95_63         861164         877562         16399
negative_95_64         891509         902808         11300
negative_95_65         1034972         1043897         8926
negative_95_66         1142648         1154730         12083
negative_95_67         1179063         1195267         16205
negative_95_68         1414689         1426925         12237
negative_95_69         1468705         1481377         12673
negative_95_70         1508239         1517432         9194
negative_95_71         1576506         1597156         20651
negative_95_72         1611006         1635734         24729
negative_95_73         1720456         1738691         18236
