GI type                       Start                End               Length
islandpick_85_1         513115         525666         12552
islandpick_85_2         627606         638926         11321
islandpick_85_3         2845916         2855144         9229
negative_85_1         233         9621         9389
negative_85_2         69990         81657         11668
negative_85_3         81677         94240         12564
negative_85_4         147706         156395         8690
negative_85_5         159470         183686         24217
negative_85_6         376606         385316         8711
negative_85_7         390639         401699         11061
negative_85_8         745928         757784         11857
negative_85_9         805058         816796         11739
negative_85_10         823244         832460         9217
negative_85_11         868890         880693         11804
negative_85_12         979378         992766         13389
negative_85_13         1014179         1040153         25975
negative_85_14         1057906         1068009         10104
negative_85_15         1314685         1323603         8919
negative_85_16         1414233         1425084         10852
negative_85_17         1794445         1808024         13580
negative_85_18         1913775         1921821         8047
negative_85_19         2019240         2028076         8837
negative_85_20         2213594         2222288         8695
negative_85_21         2361602         2371838         10237
negative_85_22         2462674         2471522         8849
negative_85_23         2479835         2506901         27067
negative_85_24         2518478         2528458         9981
negative_85_25         2530214         2538945         8732
negative_85_26         2743943         2752069         8127
negative_85_27         2779598         2788397         8800
negative_85_28         2833912         2843553         9642
negative_85_29         3126220         3135552         9333
negative_85_30         3138060         3150098         12039
negative_85_31         3177026         3186491         9466
negative_85_32         3396526         3414117         17592
negative_85_33         3426348         3434670         8323
negative_85_34         3488180         3499421         11242
negative_85_35         3531508         3549124         17617
negative_85_36         3612821         3626424         13604
negative_85_37         3659902         3668396         8495
negative_85_38         3889230         3899769         10540
negative_85_39         4002543         4010923         8381
negative_85_40         4011032         4032219         21188
negative_85_41         4146841         4156993         10153
negative_85_42         4216895         4224988         8094
negative_85_43         4274843         4287345         12503
negative_85_44         4654072         4666088         12017
