GI type                     Start                End            Length
islandpick_46_1         1621460         1670326         48867
negative_46_1         16561         29751         13191
negative_46_2         34585         45643         11059
negative_46_3         55271         64010         8740
negative_46_4         64650         80381         15732
negative_46_5         92618         112263         19646
negative_46_6         244878         255754         10877
negative_46_7         498946         510730         11785
negative_46_8         1020418         1032162         11745
negative_46_9         1042629         1059419         16791
negative_46_10         1091364         1099902         8539
negative_46_11         1549975         1563080         13106
negative_46_12         1585166         1593541         8376
negative_46_13         1847548         1862227         14680
negative_46_14         1877094         1889336         12243
negative_46_15         1908915         1917515         8601
