GI type                       Start                End               Length
islandpick_19_1         676390         685131         8742
islandpick_19_2         685194         716456         31263
islandpick_19_3         716705         755498         38794
islandpick_19_4         905287         913298         8012
islandpick_19_5         1716273         1725250         8978
islandpick_19_6         2078845         2090633         11789
islandpick_19_7         2420071         2430010         9940
islandpick_19_8         2525545         2534713         9169
islandpick_19_9         2664070         2707192         43123
islandpick_19_10         2710870         2727256         16387
islandpick_19_11         3439234         3448526         9293
islandpick_19_12         3456691         3465750         9060
islandpick_19_13         4013866         4023227         9362
islandpick_19_14         5152915         5170165         17251
negative_19_1         230666         246330         15665
negative_19_2         247283         262724         15442
negative_19_3         446918         455896         8979
negative_19_4         1455904         1465487         9584
negative_19_5         1505124         1514586         9463
negative_19_6         1962384         1971266         8883
negative_19_7         3022408         3031459         9052
negative_19_8         3109255         3118602         9348
negative_19_9         3622468         3632206         9739
negative_19_10         5330652         5340370         9719
