GI type                     Start                End            Length
islandpick_48_1         1259882         1270532         10651
negative_48_1         16590         29782         13193
negative_48_2         34650         45783         11134
negative_48_3         54316         79301         24986
negative_48_4         90257         110951         20695
negative_48_5         235771         246647         10877
negative_48_6         467704         476392         8689
negative_48_7         907913         919584         11672
negative_48_8         930060         946851         16792
negative_48_9         1019770         1028308         8539
negative_48_10         1581473         1595509         14037
negative_48_11         1617146         1625521         8376
negative_48_12         1694272         1705194         10923
negative_48_13         1820911         1835585         14675
negative_48_14         1836587         1848816         12230
negative_48_15         1868404         1877007         8604
