GI type                     Start                End            Length
islandpick_42_1         962584         977170         14587
islandpick_42_2         991551         1002020         10470
islandpick_42_3         1113800         1121815         8016
islandpick_42_4         1121832         1141787         19956
islandpick_42_5         2732793         2749788         16996
islandpick_42_6         4735655         4746586         10932
negative_42_1         117239         129058         11820
negative_42_2         139415         161643         22229
negative_42_3         173379         182495         9117
negative_42_4         237211         245490         8280
negative_42_5         249471         274007         24537
negative_42_6         498710         511650         12941
negative_42_7         528466         537868         9403
negative_42_8         727023         737230         10208
negative_42_9         796166         807878         11713
negative_42_10         809500         818906         9407
negative_42_11         891422         900054         8633
negative_42_12         1034886         1045979         11094
negative_42_13         1069460         1084754         15295
negative_42_14         1274148         1287942         13795
negative_42_15         1805598         1816760         11163
negative_42_16         1835887         1845875         9989
negative_42_17         2317184         2326741         9558
negative_42_18         2360874         2373672         12799
negative_42_19         2424354         2451379         27026
negative_42_20         2474327         2484783         10457
negative_42_21         2488616         2497331         8716
negative_42_22         2651920         2660620         8701
negative_42_23         2675359         2685243         9885
negative_42_24         2705719         2715290         9572
negative_42_25         3145311         3153830         8520
negative_42_26         3199219         3209264         10046
negative_42_27         3212137         3223227         11091
negative_42_28         3248927         3259736         10810
negative_42_29         3344371         3354110         9740
negative_42_30         3444612         3458640         14029
negative_42_31         3470219         3481030         10812
negative_42_32         3581316         3596617         15302
negative_42_33         3612678         3623260         10583
negative_42_34         3636423         3654373         17951
negative_42_35         3656179         3665724         9546
negative_42_36         3720457         3734307         13851
negative_42_37         4073342         4086390         13049
negative_42_38         4122348         4131389         9042
negative_42_39         4132858         4141395         8538
negative_42_40         4209065         4219027         9963
negative_42_41         4359741         4374262         14522
negative_42_42         4595831         4612285         16455
