GI type                     Start                End            Length
islandpick_52_1         791058         805632         14575
negative_52_1         16560         29752         13193
negative_52_2         34620         45751         11132
negative_52_3         54294         79278         24985
negative_52_4         89170         104207         15038
negative_52_5         245834         259668         13835
negative_52_6         480670         493356         12687
negative_52_7         989256         1001000         11745
negative_52_8         1011471         1028259         16789
negative_52_9         1060205         1068743         8539
negative_52_10         1566518         1579552         13035
negative_52_11         1605920         1614296         8377
negative_52_12         1819081         1833759         14679
negative_52_13         1849026         1861268         12243
negative_52_14         1896175         1904779         8605
