GI type                     Start                End            Length
islandpick_4_1         258073         270993         12921
islandpick_4_2         271673         289384         17712
islandpick_4_3         289557         300231         10675
islandpick_4_4         327267         348601         21335
islandpick_4_5         386937         401286         14350
islandpick_4_6         1127538         1138421         10884
islandpick_4_7         1158636         1174407         15772
islandpick_4_8         1182743         1191603         8861
islandpick_4_9         1211250         1221028         9779
islandpick_4_10         1221378         1241062         19685
islandpick_4_11         1355966         1373084         17119
islandpick_4_12         2194347         2210333         15987
islandpick_4_13         2342644         2363818         21175
islandpick_4_14         3415400         3425881         10482
islandpick_4_15         3470573         3480285         9713
islandpick_4_16         3480340         3496072         15733
islandpick_4_17         3498117         3510912         12796
islandpick_4_18         3519797         3532820         13024
islandpick_4_19         4294097         4311802         17706
islandpick_4_20         4313542         4328985         15444
islandpick_4_21         4329339         4343043         13705
islandpick_4_22         4919335         4938192         18858
negative_4_1         52353         61368         9016
negative_4_2         82685         92559         9875
negative_4_3         99713         111380         11668
negative_4_4         116786         125276         8491
negative_4_5         183941         192648         8708
negative_4_6         195410         219617         24208
negative_4_7         526011         537071         11061
negative_4_8         726985         738705         11721
negative_4_9         761789         770077         8289
negative_4_10         779568         791375         11808
negative_4_11         794099         803323         9225
negative_4_12         980356         994965         14610
negative_4_13         1011989         1031806         19818
negative_4_14         1048677         1060607         11931
negative_4_15         1514021         1522815         8795
negative_4_16         1540105         1550730         10626
negative_4_17         1866373         1875512         9140
negative_4_18         1911834         1920711         8878
negative_4_19         2082322         2091159         8838
negative_4_20         2559849         2573365         13517
negative_4_21         2660044         2668705         8662
negative_4_22         2672500         2689703         17204
negative_4_23         2690314         2699617         9304
negative_4_24         2722225         2730956         8732
negative_4_25         2793269         2802396         9128
negative_4_26         2922933         2932124         9192
negative_4_27         2952660         2961477         8818
negative_4_28         3006823         3016352         9530
negative_4_29         3331301         3340495         9195
negative_4_30         3342121         3352742         10622
negative_4_31         3379878         3389355         9478
negative_4_32         3734391         3751983         17593
negative_4_33         3764068         3774827         10760
negative_4_34         3811974         3826853         14880
negative_4_35         3869424         3884733         15310
negative_4_36         3915902         3927744         11843
negative_4_37         3938863         3956707         17845
negative_4_38         3970888         3982414         11527
negative_4_39         4000119         4008613         8495
negative_4_40         4416535         4429270         12736
negative_4_41         4449023         4460763         11741
negative_4_42         4575389         4585433         10045
negative_4_43         4707353         4721706         14354
negative_4_44         5005175         5016035         10861
negative_4_45         5195108         5210272         15165
