GI type                     Start                End            Length
islandpick_43_1         1999635         2045693         46059
islandpick_43_2         2206971         2222121         15151
islandpick_43_3         2350996         2373507         22512
islandpick_43_4         2377916         2387342         9427
islandpick_43_5         2465209         2474510         9302
islandpick_43_6         2665661         2678193         12533
islandpick_43_7         3826008         3838042         12035
islandpick_43_8         3839313         3850188         10876
islandpick_43_9         4036256         4048110         11855
negative_43_1         212375         242941         30567
negative_43_2         1931213         1942105         10893
negative_43_3         3975803         3984631         8829
negative_43_4         4688337         4699517         11181
