GI type                       Start                End               Length
islandpick_64_1         345430         355371         9942
islandpick_64_2         2064786         2081821         17036
islandpick_64_3         2143074         2152284         9211
negative_64_1         80598         112896         32299
negative_64_2         113431         121775         8345
negative_64_3         163774         172442         8669
negative_64_4         183524         207760         24237
negative_64_5         518085         530895         12811
negative_64_6         544996         555955         10960
negative_64_7         693632         706387         12756
negative_64_8         747134         755383         8250
negative_64_9         779316         791057         11742
negative_64_10         798282         807484         9203
negative_64_11         951468         959937         8470
negative_64_12         1021370         1044670         23301
negative_64_13         1210357         1223691         13335
negative_64_14         1309393         1317461         8069
negative_64_15         1323658         1335013         11356
negative_64_16         1343694         1353562         9869
negative_64_17         1374824         1385827         11004
negative_64_18         1727803         1741382         13580
negative_64_19         1916898         1926087         9190
negative_64_20         1930183         1940994         10812
negative_64_21         2197993         2209217         11225
negative_64_22         2315469         2325004         9536
negative_64_23         2414451         2423310         8860
negative_64_24         2431619         2458481         26863
negative_64_25         2470247         2481106         10860
negative_64_26         2673662         2682637         8976
negative_64_27         2691796         2701803         10008
negative_64_28         2727431         2736950         9520
negative_64_29         2940750         2949051         8302
negative_64_30         3061841         3070933         9093
negative_64_31         3073680         3084348         10669
negative_64_32         3111560         3121577         10018
negative_64_33         3355471         3369276         13806
negative_64_34         3436001         3447242         11242
negative_64_35         3480084         3497700         17617
negative_64_36         3561411         3575024         13614
negative_64_37         3823262         3834717         11456
negative_64_38         3942678         3963791         21114
negative_64_39         3975366         3985350         9985
negative_64_40         3991415         4000936         9522
negative_64_41         4002898         4011261         8364
negative_64_42         4080079         4090189         10111
negative_64_43         4147184         4155277         8094
negative_64_44         4186497         4195102         8606
negative_64_45         4204687         4219181         14495
negative_64_46         4220167         4230216         10050
negative_64_47         4416923         4432611         15689
negative_64_48         4615447         4624637         9191
