GI type                       Start                End               Length
islandpick_56_1         1004641         1020617         15977
islandpick_56_2         4537530         4550447         12918
negative_56_1         111349         123058         11710
negative_56_2         123165         133485         10321
negative_56_3         133523         155753         22231
negative_56_4         167481         176597         9117
negative_56_5         221768         230619         8852
negative_56_6         238114         246393         8280
negative_56_7         250374         274910         24537
negative_56_8         307358         321081         13724
negative_56_9         327862         337417         9556
negative_56_10         357901         367844         9944
negative_56_11         382456         391156         8701
negative_56_12         548401         557111         8711
negative_56_13         560904         571536         10633
negative_56_14         594353         621379         27027
negative_56_15         719046         728339         9294
negative_56_16         1276387         1286361         9975
negative_56_17         1305517         1316642         11126
negative_56_18         1920662         1933846         13185
negative_56_19         2077452         2092745         15294
negative_56_20         2118226         2131848         13623
negative_56_21         2305252         2314588         9337
negative_56_22         2316210         2327922         11713
negative_56_23         2464523         2473762         9240
negative_56_24         2580540         2591443         10904
negative_56_25         2606843         2619809         12967
negative_56_26         3106456         3114975         8520
negative_56_27         3159605         3169574         9970
negative_56_28         3172522         3183612         11091
negative_56_29         3209286         3220177         10892
negative_56_30         3304729         3314467         9739
negative_56_31         3404856         3418885         14030
negative_56_32         3429846         3440701         10856
negative_56_33         3541545         3555252         13708
negative_56_34         3571303         3581932         10630
negative_56_35         3598714         3612337         13624
negative_56_36         3614144         3623692         9549
negative_56_37         4018195         4033876         15682
negative_56_38         4067119         4076178         9060
negative_56_39         4119230         4128334         9105
negative_56_40         4154408         4164370         9963
negative_56_41         4239297         4247409         8113
negative_56_42         4301045         4315562         14518
negative_56_43         4610727         4622545         11819
negative_56_44         4822204         4831445         9242
