GI type                     Start                End            Length
islandpick_118_1         109610         126085         16476
islandpick_118_2         715935         732174         16240
islandpick_118_3         899932         925154         25223
islandpick_118_4         1773784         1785607         11824
islandpick_118_5         2193046         2201201         8156
islandpick_118_6         2900978         2920080         19103
islandpick_118_7         3225903         3242361         16459
islandpick_118_8         3358613         3372818         14206
islandpick_118_9         4296400         4308962         12563
islandpick_118_10         4804726         4814224         9499
islandpick_118_11         5172263         5199193         26931
islandpick_118_12         5623010         5642436         19427
islandpick_118_13         5642564         5650801         8238
negative_118_1         250988         264080         13093
negative_118_2         588587         598403         9817
negative_118_3         656877         673055         16179
negative_118_4         732797         756725         23929
negative_118_5         841003         851365         10363
negative_118_6         1018784         1030745         11962
negative_118_7         1302050         1319279         17230
negative_118_8         1376095         1384357         8263
negative_118_9         1510568         1534186         23619
negative_118_10         1564506         1573700         9195
negative_118_11         1840022         1850493         10472
negative_118_12         1882574         1893407         10834
negative_118_13         2069870         2084137         14268
negative_118_14         2219007         2228561         9555
negative_118_15         2320399         2335092         14694
negative_118_16         3608027         3622764         14738
negative_118_17         3883204         3895706         12503
negative_118_18         3902326         3912357         10032
negative_118_19         4316094         4330916         14823
negative_118_20         4332392         4341276         8885
negative_118_21         4361389         4372340         10952
negative_118_22         4372901         4383041         10141
negative_118_23         4383570         4400319         16750
negative_118_24         4686765         4698528         11764
negative_118_25         4723542         4738591         15050
negative_118_26         4744871         4761514         16644
negative_118_27         4771888         4793163         21276
negative_118_28         5023777         5033019         9243
negative_118_29         5079212         5087629         8418
negative_118_30         5208018         5244184         36167
negative_118_31         5392609         5401367         8759
negative_118_32         5563606         5572249         8644
negative_118_33         5804719         5819361         14643
negative_118_34         5907208         5917661         10454
