GI type                     Start                End            Length
islandpick_66_1         1396003         1404392         8390
islandpick_66_2         3573318         3585665         12348
negative_66_1         149391         160398         11008
negative_66_2         160712         177050         16339
negative_66_3         189557         198012         8456
negative_66_4         247992         256789         8798
negative_66_5         261202         271963         10762
negative_66_6         451164         467856         16693
negative_66_7         468268         484261         15994
negative_66_8         551221         560835         9615
negative_66_9         561311         575805         14495
negative_66_10         651259         668338         17080
negative_66_11         677392         695825         18434
negative_66_12         794239         807820         13582
negative_66_13         814051         829567         15517
negative_66_14         837759         848578         10820
negative_66_15         893267         904799         11533
negative_66_16         950450         967983         17534
negative_66_17         970612         980528         9917
negative_66_18         1053071         1062759         9689
negative_66_19         1121456         1131187         9732
negative_66_20         1163152         1172750         9599
negative_66_21         1211757         1221709         9953
negative_66_22         1222387         1232683         10297
negative_66_23         1250708         1286730         36023
negative_66_24         1459149         1483482         24334
negative_66_25         1690197         1702081         11885
negative_66_26         1715549         1725539         9991
negative_66_27         1731304         1741902         10599
negative_66_28         1809246         1818908         9663
negative_66_29         2770075         2778555         8481
negative_66_30         2783167         2817310         34144
negative_66_31         2821978         2831331         9354
negative_66_32         2876921         2900702         23782
negative_66_33         2977346         2986161         8816
negative_66_34         3030963         3044806         13844
negative_66_35         3065676         3075670         9995
negative_66_36         3146627         3154662         8036
negative_66_37         3226103         3249393         23291
negative_66_38         3276964         3287270         10307
negative_66_39         3310867         3321334         10468
negative_66_40         3379306         3405628         26323
negative_66_41         3414122         3432269         18148
negative_66_42         3432379         3445872         13494
negative_66_43         3446184         3468234         22051
negative_66_44         3480447         3503842         23396
negative_66_45         3621255         3651883         30629
negative_66_46         3679779         3690686         10908
negative_66_47         3690927         3707903         16977
negative_66_48         3714314         3728974         14661
negative_66_49         3737407         3753365         15959
negative_66_50         3838040         3849225         11186
negative_66_51         3939935         3955741         15807
negative_66_52         3978589         3988157         9569
