GI type                     Start                End            Length
islandpick_27_1         384107         434164         50058
islandpick_27_2         859295         884111         24817
islandpick_27_3         4256758         4285392         28635
negative_27_1         374         82211         81838
negative_27_2         87060         150659         63600
negative_27_3         150810         159674         8865
negative_27_4         211842         220697         8856
negative_27_5         271011         284634         13624
negative_27_6         285166         294369         9204
negative_27_7         296323         305273         8951
negative_27_8         336060         347999         11940
negative_27_9         349512         360242         10731
negative_27_10         470319         480521         10203
negative_27_11         511838         523798         11961
negative_27_12         537237         546736         9500
negative_27_13         547264         555561         8298
negative_27_14         588526         604112         15587
negative_27_15         752292         762788         10497
negative_27_16         828938         846894         17957
negative_27_17         960071         972213         12143
negative_27_18         1249840         1258949         9110
negative_27_19         1258954         1267667         8714
negative_27_20         1295301         1304039         8739
negative_27_21         1304072         1335135         31064
negative_27_22         1409143         1422675         13533
negative_27_23         1423185         1432452         9268
negative_27_24         1432788         1441837         9050
negative_27_25         1471210         1481400         10191
negative_27_26         1495326         1532872         37547
negative_27_27         1542577         1550843         8267
negative_27_28         1559087         1609224         50138
negative_27_29         1625691         1635024         9334
negative_27_30         1650294         1660508         10215
negative_27_31         1690440         1698575         8136
negative_27_32         1706291         1715829         9539
negative_27_33         1723350         1733343         9994
negative_27_34         2035460         2045961         10502
negative_27_35         2046750         2057961         11212
negative_27_36         2172932         2186778         13847
negative_27_37         2227280         2239666         12387
negative_27_38         2266173         2281348         15176
negative_27_39         2286689         2301675         14987
negative_27_40         2426994         2436095         9102
negative_27_41         3369989         3385517         15529
negative_27_42         3548050         3563458         15409
negative_27_43         3563785         3580687         16903
negative_27_44         3587935         3603527         15593
negative_27_45         3606194         3668170         61977
negative_27_46         3677407         3733947         56541
negative_27_47         3733988         3786600         52613
negative_27_48         3791442         3806160         14719
negative_27_49         3831603         3873391         41789
negative_27_50         3873884         3890000         16117
negative_27_51         3895308         3914651         19344
negative_27_52         3915564         3925893         10330
negative_27_53         3942581         3955868         13288
negative_27_54         3956037         3977732         21696
negative_27_55         3994814         4007197         12384
negative_27_56         4017086         4070494         53409
negative_27_57         4070500         4099269         28770
negative_27_58         4132559         4152510         19952
negative_27_59         4159389         4170043         10655
negative_27_60         4178795         4187844         9050
negative_27_61         4194218         4212781         18564
negative_27_62         4219831         4228738         8908
negative_27_63         4229480         4239187         9708
negative_27_64         4294374         4304276         9903
negative_27_65         4351441         4360624         9184
negative_27_66         4360674         4381988         21315
negative_27_67         4382830         4396384         13555
negative_27_68         4406924         4416162         9239
negative_27_69         4469336         4486573         17238
negative_27_70         4620733         4631616         10884
negative_27_71         4632411         4642204         9794
negative_27_72         4656247         4673316         17070
negative_27_73         4742928         4754836         11909
negative_27_74         4834839         4843778         8940
negative_27_75         4844243         4861009         16767
negative_27_76         4873615         4887522         13908
negative_27_77         4933478         4947531         14054
negative_27_78         4992577         5009876         17300
negative_27_79         5012885         5028211         15327
negative_27_80         5037208         5056400         19193
negative_27_81         5081138         5092966         11829
negative_27_82         5093071         5101833         8763
negative_27_83         5151257         5163119         11863
negative_27_84         5196059         5224166         28108
