GI type                     Start                End            Length
islandpick_79_1         241851         256077         14227
islandpick_79_2         706669         717741         11073
islandpick_79_3         725259         741603         16345
islandpick_79_4         1179331         1189980         10650
negative_79_1         63266         75415         12150
negative_79_2         76171         86401         10231
negative_79_3         87218         109246         22029
negative_79_4         109781         117887         8107
negative_79_5         117928         127138         9211
negative_79_6         175829         200024         24196
negative_79_7         386986         399702         12717
negative_79_8         415263         426209         10947
negative_79_9         572704         581902         9199
negative_79_10         588352         599755         11404
negative_79_11         643899         652809         8911
negative_79_12         782564         791189         8626
negative_79_13         872346         885834         13489
negative_79_14         948784         968583         19800
negative_79_15         1137286         1150622         13337
negative_79_16         1320962         1331815         10854
negative_79_17         1722206         1731340         9135
negative_79_18         1863716         1872550         8835
negative_79_19         2143535         2154468         10934
negative_79_20         2276277         2285483         9207
negative_79_21         2377568         2404816         27249
negative_79_22         2416273         2424716         8444
negative_79_23         2633025         2642727         9703
negative_79_24         2906677         2915191         8515
negative_79_25         2960332         2969663         9332
negative_79_26         2972171         2982940         10770
negative_79_27         3014413         3024564         10152
negative_79_28         3284124         3301649         17526
negative_79_29         3313882         3324620         10739
negative_79_30         3563889         3578362         14474
negative_79_31         3630873         3638966         8094
negative_79_32         3700595         3714822         14228
negative_79_33         3735851         3744809         8959
negative_79_34         3792498         3801972         9475
negative_79_35         3834594         3850542         15949
negative_79_36         4272694         4286437         13744
negative_79_37         4334965         4348673         13709
negative_79_38         4488928         4501263         12336
