GI type                     Start                End            Length
islandpick_78_1         1226513         1244694         18182
negative_78_1         4595         25704         21110
negative_78_2         127993         139433         11441
negative_78_3         181058         191127         10070
negative_78_4         235652         255452         19801
negative_78_5         309476         320301         10826
negative_78_6         320759         333681         12923
negative_78_7         362620         376785         14166
negative_78_8         439375         450699         11325
negative_78_9         450703         461610         10908
negative_78_10         540303         551109         10807
negative_78_11         1180434         1200136         19703
negative_78_12         1338729         1349681         10953
negative_78_13         1379315         1388455         9141
negative_78_14         1480030         1491436         11407
negative_78_15         1503388         1513537         10150
negative_78_16         1560160         1581729         21570
negative_78_17         1603609         1618152         14544
negative_78_18         1661045         1680441         19397
negative_78_19         1686920         1696697         9778
negative_78_20         1753426         1763119         9694
negative_78_21         1767268         1776107         8840
negative_78_22         1778260         1786749         8490
