GI type                       Start                End               Length
islandpick_32_1         1537165         1555075         17911
islandpick_32_2         1833596         1846907         13312
islandpick_32_3         2797984         2822651         24668
islandpick_32_4         5106242         5118313         12072
negative_32_1         181576         228500         46925
negative_32_2         264322         273050         8729
negative_32_3         451510         459876         8367
negative_32_4         1248968         1264223         15256
negative_32_5         1662379         1677708         15330
negative_32_6         2347561         2363062         15502
negative_32_7         2885360         2899266         13907
negative_32_8         3148995         3162515         13521
negative_32_9         3263432         3273649         10218
negative_32_10         3515428         3524287         8860
negative_32_11         3738148         3751089         12942
negative_32_12         4577437         4590655         13219
negative_32_13         4624759         4636582         11824
negative_32_14         4648429         4660981         12553
negative_32_15         5154275         5165273         10999
