GI type                       Start                End               Length
islandpick_71_1         2765408         2779414         14007
islandpick_71_2         1496897         1516701         19805
islandpick_71_3         1840403         1849943         9541
islandpick_71_4         1850184         1866278         16095
islandpick_71_5         1311423         1324804         13382
negative_71_1         634332         648694         14363
negative_71_2         1048460         1057757         9298
negative_71_3         1580725         1595388         14664
negative_71_4         2953611         2962301         8691
negative_71_5         3318887         3334271         15385
negative_71_6         4068733         4078079         9347
negative_71_7         4264548         4273746         9199
negative_71_8         4461514         4473516         12003
negative_71_9         4478181         4487674         9494
negative_71_10         4753378         4785872         32495
negative_71_11         4939722         4957559         17838
negative_71_12         4981383         4996297         14915
negative_71_13         5233189         5241818         8630
negative_71_14         5302577         5313106         10530
negative_71_15         5323542         5337973         14432
negative_71_16         5666340         5675749         9410
