GI type                     Start                End            Length
islandpick_38_1         91445         111704         20260
islandpick_38_2         111721         121912         10192
islandpick_38_3         1053339         1062215         8877
islandpick_38_4         1669420         1677644         8225
negative_38_1         28853         46413         17561
negative_38_2         574497         584903         10407
negative_38_3         796932         807102         10171
negative_38_4         1255006         1272017         17012
negative_38_5         1337363         1345690         8328
negative_38_6         1346355         1356471         10117
negative_38_7         1397557         1415000         17444
negative_38_8         1427302         1442365         15064
negative_38_9         1448943         1464928         15986
negative_38_10         1498740         1507875         9136
negative_38_11         1589234         1601742         12509
negative_38_12         1765063         1773474         8412
negative_38_13         1826804         1848082         21279
negative_38_14         1870397         1889765         19369
negative_38_15         2197826         2206238         8413
