GI type                     Start                End            Length
islandpick_80_1         454481         475594         21114
islandpick_80_2         612115         633823         21709
islandpick_80_3         1022961         1048746         25786
islandpick_80_4         1048866         1067910         19045
islandpick_80_5         1079147         1090733         11587
islandpick_80_6         1094798         1114297         19500
islandpick_80_7         1115672         1124611         8940
islandpick_80_8         1131739         1143474         11736
islandpick_80_9         1143610         1168514         24905
islandpick_80_10         1294965         1337899         42935
islandpick_80_11         1341485         1353164         11680
islandpick_80_12         1514404         1531852         17449
islandpick_80_13         1532435         1542123         9689
islandpick_80_14         1542179         1551571         9393
islandpick_80_15         1595711         1616099         20389
islandpick_80_16         1627742         1638041         10300
islandpick_80_17         1638331         1664543         26213
islandpick_80_18         1665537         1683866         18330
islandpick_80_19         1983217         1994754         11538
islandpick_80_20         2583276         2593056         9781
islandpick_80_21         2595062         2604638         9577
islandpick_80_22         2605028         2618679         13652
islandpick_80_23         2618845         2628160         9316
islandpick_80_24         2649653         2665312         15660
islandpick_80_25         2665366         2681992         16627
islandpick_80_26         2682055         2694923         12869
islandpick_80_27         2721470         2733466         11997
islandpick_80_28         3530060         3542936         12877
islandpick_80_29         3583405         3592165         8761
islandpick_80_30         3861734         3887991         26258
islandpick_80_31         5069874         5088006         18133
islandpick_80_32         5090210         5107072         16863
islandpick_80_33         5195544         5208061         12518
islandpick_80_34         5362816         5377923         15108
islandpick_80_35         6020041         6048889         28849
islandpick_80_36         6234445         6244860         10416
islandpick_80_37         6250899         6260704         9806
islandpick_80_38         6619223         6633311         14089
islandpick_80_39         6640317         6651899         11583
islandpick_80_40         6851102         6898434         47333
islandpick_80_41         6909739         6917896         8158
islandpick_80_42         7025807         7038649         12843
islandpick_80_43         7089198         7099739         10542
islandpick_80_44         7118792         7130991         12200
islandpick_80_45         7602278         7629774         27497
islandpick_80_46         7634689         7643163         8475
islandpick_80_47         7643440         7653994         10555
islandpick_80_48         7656775         7675479         18705
islandpick_80_49         7798078         7808720         10643
islandpick_80_50         8089028         8100938         11911
islandpick_80_51         8144354         8174568         30215
islandpick_80_52         8182399         8203265         20867
negative_80_1         55288         65899         10612
negative_80_2         80573         99270         18698
negative_80_3         100789         110717         9929
negative_80_4         164280         173961         9682
negative_80_5         195725         205699         9975
negative_80_6         361330         372589         11260
negative_80_7         378732         414459         35728
negative_80_8         658471         669297         10827
negative_80_9         1752770         1762928         10159
negative_80_10         2348790         2358017         9228
negative_80_11         4096131         4107707         11577
negative_80_12         4120448         4130603         10156
negative_80_13         4352337         4363953         11617
negative_80_14         4764013         4782855         18843
negative_80_15         4910145         4919477         9333
negative_80_16         5274656         5293832         19177
negative_80_17         5295837         5314210         18374
negative_80_18         5667491         5677181         9691
negative_80_19         5706182         5716835         10654
negative_80_20         6396613         6406597         9985
negative_80_21         6411071         6423937         12867
negative_80_22         6567809         6589616         21808
negative_80_23         6841563         6851102         9540
negative_80_24         7345121         7355691         10571
negative_80_25         7385290         7396521         11232
negative_80_26         7412093         7424321         12229
negative_80_27         7457399         7468771         11373
negative_80_28         7688217         7698196         9980
negative_80_29         7738679         7747412         8734
negative_80_30         7985576         8001862         16287
