GI type                     Start                End            Length
islandpick_100_1         4625620         4636664         11045
islandpick_100_2         3918395         3936988         18594
islandpick_100_3         4293893         4303278         9386
islandpick_100_4         2130637         2146272         15636
islandpick_100_5         2148212         2166586         18375
islandpick_100_6         2168874         2194607         25734
islandpick_100_7         2209918         2219722         9805
islandpick_100_8         2224488         2232679         8192
islandpick_100_9         3853588         3875780         22193
islandpick_100_10         3886164         3917255         31092
negative_100_1         18949         32382         13434
negative_100_2         208226         218060         9835
negative_100_3         330199         344408         14210
negative_100_4         488587         500375         11789
negative_100_5         505342         514756         9415
negative_100_6         554474         562973         8500
negative_100_7         814895         833250         18356
negative_100_8         1164754         1174005         9252
negative_100_9         1365556         1377326         11771
negative_100_10         1547678         1558390         10713
negative_100_11         2408161         2417263         9103
negative_100_12         2554944         2564779         9836
negative_100_13         2914413         2924352         9940
negative_100_14         3046880         3061993         15114
negative_100_15         3378075         3387961         9887
negative_100_16         3529384         3547991         18608
negative_100_17         4239198         4252646         13449
negative_100_18         4383796         4398329         14534
negative_100_19         4492642         4501622         8981
negative_100_20         4705214         4715253         10040
