GI type                     Start                End            Length
islandpick_14_1         956416         978570         22155
islandpick_14_2         1421251         1441929         20679
islandpick_14_3         2745483         2754685         9203
islandpick_14_4         3514530         3524608         10079
islandpick_14_5         3524784         3534718         9935
islandpick_14_6         4394219         4412871         18653
islandpick_14_7         4420667         4444504         23838
islandpick_14_8         4444521         4458443         13923
islandpick_14_9         4493737         4519430         25694
islandpick_14_10         4679558         4688316         8759
islandpick_14_11         4689234         4699499         10266
negative_14_1         100529         109022         8494
negative_14_2         118645         130421         11777
negative_14_3         130468         140783         10316
negative_14_4         140821         163056         22236
negative_14_5         246471         270876         24406
negative_14_6         325473         335033         9561
negative_14_7         355493         365397         9905
negative_14_8         380010         388680         8671
negative_14_9         552362         561078         8717
negative_14_10         564910         575366         10457
negative_14_11         598175         625333         27159
negative_14_12         711564         720857         9294
negative_14_13         1681073         1692235         11163
negative_14_14         1711361         1721343         9983
negative_14_15         1985814         2002599         16786
negative_14_16         2024583         2040252         15670
negative_14_17         2072436         2081144         8709
negative_14_18         2187540         2196803         9264
negative_14_19         2198430         2210144         11715
negative_14_20         2259723         2277904         18182
negative_14_21         2335848         2345086         9239
negative_14_22         2450361         2461277         10917
negative_14_23         2477388         2490354         12967
negative_14_24         2986743         2995262         8520
negative_14_25         3047236         3057284         10049
negative_14_26         3060154         3071247         11094
negative_14_27         3090107         3100932         10826
negative_14_28         3187368         3197107         9740
negative_14_29         3286082         3299946         13865
negative_14_30         3310203         3321051         10849
negative_14_31         3422260         3431363         9104
negative_14_32         3465254         3473632         8379
negative_14_33         3475612         3484938         9327
negative_14_34         3550816         3560581         9766
negative_14_35         3562609         3577128         14520
negative_14_36         3711963         3726112         14150
negative_14_37         3748325         3761245         12921
negative_14_38         4094957         4109882         14926
negative_14_39         4120498         4131662         11165
negative_14_40         4160870         4178820         17951
negative_14_41         4190986         4201491         10506
negative_14_42         4217534         4232835         15302
negative_14_43         4556013         4571550         15538
