GI type                     Start                End            Length
islandpick_70_1         2144915         2158788         13874
negative_70_1         29938         37963         8026
negative_70_2         43219         55531         12313
negative_70_3         76095         104188         28094
negative_70_4         117065         128705         11641
negative_70_5         186778         197054         10277
negative_70_6         276906         285246         8341
negative_70_7         363941         376969         13029
negative_70_8         409122         419381         10260
negative_70_9         502333         513860         11528
negative_70_10         804999         813519         8521
negative_70_11         956659         970556         13898
negative_70_12         991140         1000302         9163
negative_70_13         1013388         1026068         12681
negative_70_14         1179858         1192764         12907
negative_70_15         1310598         1321780         11183
negative_70_16         1332882         1347887         15006
negative_70_17         1397919         1407456         9538
negative_70_18         1445899         1454876         8978
negative_70_19         1461436         1470658         9223
negative_70_20         1601155         1614696         13542
negative_70_21         1632163         1645817         13655
negative_70_22         1660773         1677626         16854
negative_70_23         1727784         1749375         21592
negative_70_24         1749560         1766860         17301
negative_70_25         1770943         1780818         9876
negative_70_26         1783125         1801773         18649
negative_70_27         1831421         1844144         12724
negative_70_28         1965171         1974300         9130
negative_70_29         2390046         2406334         16289
negative_70_30         2455188         2467018         11831
negative_70_31         2603109         2626634         23526
negative_70_32         2629785         2651280         21496
