GI type                     Start                End            Length
islandpick_57_1         1901832         1910083         8252
islandpick_57_2         1911559         1924529         12971
islandpick_57_3         1935771         1961533         25763
islandpick_57_4         1961586         1996631         35046
islandpick_57_5         3345457         3364671         19215
negative_57_1         61537         77169         15633
negative_57_2         85450         95737         10288
negative_57_3         210607         224418         13812
negative_57_4         283014         291363         8350
negative_57_5         300847         314867         14021
negative_57_6         314961         336584         21624
negative_57_7         336864         345444         8581
negative_57_8         375519         405735         30217
negative_57_9         517888         538809         20922
negative_57_10         538847         548030         9184
negative_57_11         556398         573112         16715
negative_57_12         574078         596115         22038
negative_57_13         701859         711783         9925
negative_57_14         733942         749723         15782
negative_57_15         804884         813114         8231
negative_57_16         993778         1002561         8784
negative_57_17         1083647         1097822         14176
negative_57_18         1097854         1112634         14781
negative_57_19         1145337         1162471         17135
negative_57_20         1162916         1192402         29487
negative_57_21         1389427         1403239         13813
negative_57_22         1403631         1412931         9301
negative_57_23         1593276         1605099         11824
negative_57_24         1617388         1629611         12224
negative_57_25         1631656         1643385         11730
negative_57_26         2135719         2160952         25234
negative_57_27         2168366         2182407         14042
negative_57_28         2190877         2217648         26772
negative_57_29         2251936         2266479         14544
negative_57_30         2275318         2283745         8428
negative_57_31         2298127         2311103         12977
negative_57_32         2365571         2387901         22331
negative_57_33         2387915         2405700         17786
negative_57_34         2425909         2435680         9772
negative_57_35         2468551         2478634         10084
negative_57_36         2531391         2541327         9937
negative_57_37         2644875         2653113         8239
negative_57_38         2658963         2694994         36032
negative_57_39         2708645         2718426         9782
negative_57_40         2718473         2727719         9247
negative_57_41         2762159         2778429         16271
negative_57_42         2934542         2943614         9073
negative_57_43         2945720         2963122         17403
negative_57_44         3006716         3017494         10779
negative_57_45         3079977         3096530         16554
negative_57_46         3102340         3114571         12232
negative_57_47         3170949         3182223         11275
negative_57_48         3191047         3207945         16899
negative_57_49         3255974         3270494         14521
negative_57_50         3270686         3280256         9571
negative_57_51         3313346         3341443         28098
negative_57_52         3388818         3397859         9042
negative_57_53         3528056         3538878         10823
negative_57_54         3545214         3554084         8871
negative_57_55         3601173         3609560         8388
negative_57_56         3622038         3637694         15657
negative_57_57         3638034         3652844         14811
