GI type                     Start                End            Length
islandpick_28_1         1471752         1483332         11581
islandpick_28_2         1486874         1503681         16808
islandpick_28_3         2420770         2435556         14787
islandpick_28_4         2512418         2527378         14961
islandpick_28_5         2614867         2634658         19792
islandpick_28_6         2814443         2837691         23249
negative_28_1         224722         256797         32076
negative_28_2         1197054         1206736         9683
negative_28_3         1313887         1323369         9483
negative_28_4         1553184         1563414         10231
negative_28_5         3629700         3643149         13450
negative_28_6         3692050         3701750         9701
negative_28_7         4491993         4504362         12370
