GI type                     Start                End            Length
islandpick_49_1         143180         155865         12686
islandpick_49_2         1608282         1631390         23109
negative_49_1         1026453         1036164         9712
negative_49_2         1708132         1716780         8649
negative_49_3         2565815         2579694         13880
negative_49_4         2776433         2791641         15209
negative_49_5         2839945         2852701         12757
negative_49_6         2996502         3006815         10314
negative_49_7         3237615         3251081         13467
negative_49_8         3343071         3353815         10745
negative_49_9         2397         12776         10380
negative_49_10         220735         229904         9170
negative_49_11         383813         397680         13868
negative_49_12         905426         915904         10479
